nom;lat;lon
"Limousin"; 45.7175403; 1.7406933
"Centre"; 47.5490251; 1.7324062
"Nord Pas de Calais"; 50.4832487; 2.7578982
"Basse Normandie"; 48.8177569; -0.4382331
"Franche Comté"; 47.4961233; 6.2097185
"Poitou Charentes"; 46.0743923; -0.0772029
"Rhône Alpes"; 45.3886264; 5.6874625
"Grand Est"; 48.4845157; 6.1130350
"Languedoc Roussillon"; 43.2896315; 3.0314215
"Pays de la Loire"; 47.6594864; -0.8186143
"Provence Alpes Côte d'Azur"; 44.0580563; 6.0638506
"Picardie"; 49.6537210; 2.5339474
"Midi Pyrénées"; 43.8324972; 1.5685814
"Auvergne"; 45.3547354; 3.1970120
"Lorraine"; 48.8360858; 6.1999334
"Haute Normandie"; 49.2566929; 1.0438139
"Aquitaine"; 44.3571841; -0.5391713
"Alsace"; 48.1835410; 7.3795231
"Bretagne"; 48.2640845; -2.9202408
"Bourgogne"; 47.0151891; 4.2523237
"Champagne Ardenne"; 48.3705824; 4.3128168
"Bourgogne-Franche Comté"; 47.0510946; 5.0740568
"Auvergne-Rhône Alpes"; 45.2968119; 4.6604809
"Normandie"; 49.0677708; 0.3138532
"Hauts de France"; 50.1024606; 2.7247515